year, taxi_company, download_url
2013, green, https://data.cityofnewyork.us/api/views/ghpb-fpea/rows.csv?accessType=DOWNLOAD
2014, green, https://data.cityofnewyork.us/api/views/2np7-5jsg/rows.csv?accessType=DOWNLOAD
2015, green, https://data.cityofnewyork.us/api/views/utt9-dvgj/rows.csv?accessType=DOWNLOAD&bom=true&query=select+*
2016, green, https://data.cityofnewyork.us/api/views/hvrh-b6nb/rows.csv?accessType=DOWNLOAD
2017, green, 
2009, yellow, https://s3-us-west-2.amazonaws.com/etl-raw.socrata.com/data.cityofnewyork.us/yellow_taxi_data_gzips/yellow_tripdata_2009.csv.gz
2010, yellow, https://s3-us-west-2.amazonaws.com/etl-raw.socrata.com/data.cityofnewyork.us/yellow_taxi_data_gzips/yellow_tripdata_2010.csv.gz
2011, yellow, https://s3-us-west-2.amazonaws.com/etl-raw.socrata.com/data.cityofnewyork.us/yellow_taxi_data_gzips/yellow_tripdata_2011.csv.gz
2012, yellow, https://s3-us-west-2.amazonaws.com/etl-raw.socrata.com/data.cityofnewyork.us/yellow_taxi_data_gzips/yellow_tripdata_2012.csv.gz
2013, yellow, https://s3-us-west-2.amazonaws.com/etl-raw.socrata.com/data.cityofnewyork.us/yellow_taxi_data_gzips/yellow_tripdata_2013.csv.gz
2014, yellow, https://s3-us-west-2.amazonaws.com/nyctlc/nyc_taxi_data.csv.gz
2015, yellow, https://s3-us-west-2.amazonaws.com/nyctlc/yellow_tripdata_2015-01-06.csv.gz
2016, yellow, https://data.cityofnewyork.us/api/views/uacg-pexx/rows.csv?accessType=DOWNLOAD&bom=true&query=select+*
2017, yellow,
